Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líq.,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. no Período,Rentab. Patr. Acumulada,Vacância Física,Vacância Financeira,Quantidade Ativos
MORE11,Títulos e Val Mob,61.09,5857,0.66,1.09,2.82,5.34,11.59,0.94,0.89,0.97,1.09,0.00,1.09,1.09,193189471.08,83.30,0.73,0.72,-5.04,-4.36,-2.74,,,0
WTSP11B,Híbrido,30.00,271,0.20,0.57,2.34,4.61,7.19,0.78,0.77,0.60,0.57,0.00,0.57,0.57,71930941.49,72.47,0.41,0.28,0.00,0.28,0.28,,,0
AFHI11,Títulos e Val Mob,94.20,5909,1.05,1.12,3.16,6.37,14.39,1.05,1.06,1.20,1.12,0.00,1.12,1.12,286309475.82,94.82,0.99,1.01,-0.94,0.06,5.00,,,0
GCRI11,Títulos e Val Mob,90.55,4964,1.10,1.23,3.59,7.16,15.83,1.20,1.19,1.32,1.23,0.00,1.23,1.23,112371669.04,94.37,0.96,,,,,,,0
NAVT11,Títulos e Val Mob,71.37,2797,0.85,1.20,3.55,6.75,13.59,1.18,1.13,1.13,1.20,0.00,1.20,1.20,94740518.92,89.84,0.79,0.95,-3.92,-3.02,0.49,,,0
MGCR11,Títulos e Val Mob,80.60,6335,0.86,1.10,3.30,7.29,15.28,1.10,1.22,1.27,1.10,0.00,1.10,1.10,127904113.96,89.93,0.90,1.00,-2.99,-2.02,4.14,,,0
OULG11,Outros,37.62,657,0.41,1.04,2.37,3.49,8.64,0.79,0.58,0.72,1.04,0.00,1.04,1.04,166782420.80,67.22,0.56,0.61,0.00,0.61,0.61,0.00,,2
SNCI11,Títulos e Val Mob,97.87,5769,1.00,1.03,3.05,6.18,13.96,1.02,1.03,1.16,1.03,0.00,1.03,1.03,408717519.54,97.31,1.01,1.03,-0.94,0.08,8.67,,,0
SNFF11,Títulos e Val Mob,84.77,4472,0.65,0.75,3.10,5.30,10.55,1.03,0.88,0.88,0.75,0.00,0.75,0.75,251391286.35,88.83,0.95,1.46,-4.82,-3.43,1.12,,,0
BLMC11,Outros,76.29,2,0.81,1.08,2.92,5.97,13.49,0.97,1.00,1.12,1.08,0.00,1.08,1.08,38382613.19,96.08,0.79,0.84,0.00,0.84,0.84,,,0
RZAK11,Títulos e Val Mob,96.58,32155,1.20,1.22,4.17,8.74,18.20,1.39,1.46,1.52,1.22,0.00,1.22,1.22,360999586.28,92.64,1.04,1.62,-0.41,1.20,7.90,,,0
ALZM11,Títulos e Val Mob,84.51,1201,0.87,1.10,1.10,3.45,10.46,0.37,0.58,0.87,1.10,0.00,1.10,1.10,66447316.94,96.13,0.88,,,,,,,0
XPML11,Shoppings,100.50,31339,0.77,0.79,2.52,4.70,8.88,0.84,0.78,0.74,0.79,0.00,0.79,0.79,257877597.23,101.27,0.99,0.76,-0.66,0.10,6.56,3.90,,16
MCHY11,Títulos e Val Mob,106.46,388,1.40,1.27,5.79,9.73,17.24,1.93,1.62,1.44,1.27,0.00,1.27,1.27,357847552.23,99.69,1.07,3.41,-3.72,-0.43,9.03,,,0
MATV11,Títulos e Val Mob,81.30,1,1.00,1.23,3.33,6.27,13.86,1.11,1.05,1.15,1.23,0.00,1.23,1.23,39226174.04,92.09,0.88,0.87,-1.34,-0.49,-0.81,,,0
BTLG11,Logística,94.25,29763,0.74,0.79,2.34,4.53,8.90,0.78,0.75,0.74,0.79,0.00,0.79,0.79,289628167.96,99.19,0.95,0.75,0.09,0.84,4.82,,2.00,16
SNLG11,Logística,39.76,1192,0.35,0.91,2.67,4.62,11.75,0.89,0.77,0.98,0.91,0.00,0.91,0.91,116224996.02,61.55,0.65,0.57,57.54,58.43,-18.62,0.00,,3
ALZR11,Logística,111.91,7358,0.81,0.73,2.07,8.25,12.31,0.69,1.37,1.03,0.73,0.00,0.73,0.73,740337456.78,106.94,1.05,0.68,-0.03,0.65,7.26,0.00,,15
BPML11,Shoppings,57.00,87,0.27,0.46,1.37,2.49,5.26,0.46,0.42,0.44,0.46,0.00,0.46,0.46,53773355.75,124.75,0.46,,,,,5.80,,7
FCFL11,Outros,105.72,5796,0.80,0.72,2.09,4.10,8.46,0.70,0.68,0.71,0.72,0.00,0.72,0.72,403561990.48,116.17,0.91,0.69,0.00,0.69,0.69,0.00,,1
NCRA11,,93.22,1666,1.30,1.40,5.48,5.48,0.00,1.83,0.91,0.00,1.40,0.00,1.40,1.40,,,,,,,,,,0
XPIN11,Outros,70.77,5606,0.65,0.92,2.71,5.07,9.80,0.90,0.84,0.82,0.92,0.00,0.92,0.92,74047972.60,103.50,0.68,0.63,0.00,0.63,0.63,17.30,12.00,5
BTAL11,Outros,86.06,7535,0.83,0.93,2.73,5.28,10.38,0.91,0.88,0.87,0.93,0.00,0.93,0.93,633527504.16,105.89,0.81,0.78,-0.43,0.35,8.41,,,7
CNES11,Lajes Corporativas,29.28,27,0.13,0.41,1.32,2.38,3.87,0.44,0.40,0.32,0.41,0.00,0.41,0.41,263957120.08,89.50,0.33,0.12,2.57,2.70,4.26,56.70,,1
MORC11,Títulos e Val Mob,95.49,2025,1.15,1.19,3.53,7.16,15.87,1.18,1.19,1.32,1.19,0.00,1.19,1.19,125287392.96,96.98,0.98,1.13,-0.73,0.40,3.30,,,0
EDGA11,Lajes Corporativas,20.22,1126,0.13,0.62,2.03,3.86,8.37,0.68,0.64,0.70,0.62,0.00,0.62,0.62,233668180.11,61.30,0.33,0.21,0.00,0.21,0.21,48.81,,1
