Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líq.,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. no Período,Rentab. Patr. Acumulada,Vacância Física,Vacância Financeira,Quantidade Ativos
WPLZ11,Shoppings,68.30,18,0.45,0.66,1.99,3.95,7.06,0.66,0.66,0.59,1.25,-9.40,-8.81,-8.26,89651439.97,87.83,0.78,0.51,0.00,0.51,0.51,11.00,,1
HGLG11,Logística,159.80,32466,1.10,0.68,2.70,4.70,10.01,0.90,0.78,0.83,1.36,-0.38,0.30,0.98,3593946727.56,153.22,1.04,0.72,0.00,0.72,0.72,6.90,6.50,17
HGPO11,Lajes Corporativas,246.38,450,1.60,0.65,1.88,3.74,7.02,0.63,0.62,0.59,1.27,-3.45,-2.83,-2.22,524799753.54,299.36,0.82,0.53,0.00,0.53,0.53,4.99,2.72,2
BLMO11,Lajes Corporativas,21775.00,56,50.00,0.24,0.24,0.53,1.07,0.08,0.09,0.09,0.24,0.00,0.24,0.24,12676715.42,33386.10,0.65,0.11,0.00,0.11,0.11,0.00,,1
BTWR11,Lajes Corporativas,107.00,2,0.40,0.37,0.37,1.63,3.65,0.12,0.27,0.30,0.37,0.00,0.37,0.37,90269881.80,111.54,0.96,0.32,0.00,0.32,0.32,12.00,,1
BTSG11,Híbrido,100.00,1,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,106703403.82,137.68,0.73,0.63,0.01,0.64,1.27,,,0
SARE11,Híbrido,58.50,20386,0.63,1.03,3.04,5.64,10.93,1.01,0.94,0.91,2.10,1.23,2.27,3.36,8696560.53,94.11,0.62,0.68,0.00,0.68,0.68,6.20,,3
TRXF11,Outros,102.99,24314,0.85,0.82,2.77,5.14,10.27,0.92,0.86,0.86,1.63,-0.86,-0.05,0.76,1250647871.60,104.28,0.99,0.82,0.00,0.82,0.82,0.00,,44
CXCO11,Lajes Corporativas,68.45,1509,0.51,0.73,2.77,5.66,11.24,0.92,0.94,0.94,1.75,-2.12,-1.41,-0.40,389867445.16,99.34,0.69,0.74,0.00,0.74,0.74,,,0
HFOF11,Títulos e Val Mob,65.59,13267,0.63,0.96,2.80,5.24,10.21,0.93,0.87,0.85,1.91,-1.94,-0.99,-0.05,182905677.09,79.48,0.83,0.79,0.00,0.79,0.79,,,0
HOSI11,Híbrido,61.38,13,0.42,0.68,4.33,6.38,9.70,1.44,1.06,0.81,1.36,-4.85,-4.21,-3.55,5389249.68,92.58,0.66,0.48,0.00,0.48,0.48,,,2
JSRE11,Híbrido,62.26,30909,0.46,0.68,2.11,3.93,7.71,0.70,0.65,0.64,1.44,4.86,5.58,6.38,2342973830.47,112.82,0.55,0.43,0.00,0.43,0.43,14.80,13.40,5
HGFF11,Títulos e Val Mob,70.23,11779,0.65,0.92,2.73,5.19,10.30,0.91,0.87,0.86,1.82,-1.81,-0.90,-0.01,242184404.12,84.57,0.83,0.77,0.00,0.77,0.77,,,0
VISC11,Shoppings,105.00,26246,0.80,0.78,2.34,4.40,8.50,0.78,0.73,0.71,1.54,-3.46,-2.71,-1.97,2311553641.72,124.34,0.84,0.66,0.00,0.66,0.66,8.30,,15
RFOF11,Títulos e Val Mob,66.00,1033,0.70,1.04,3.06,5.93,11.57,1.02,0.99,0.96,2.04,-3.72,-2.72,-1.74,83550737.06,77.49,0.85,0.90,0.00,0.90,0.90,,,0
VCRA11,Títulos e Valores Mobiliários,105.24,4928,1.00,0.94,3.72,5.03,0.00,1.24,0.84,0.00,2.31,-2.62,-1.71,-0.36,47045720.01,102.41,1.03,1.46,0.00,1.46,1.46,,,0
CYCR11,Títulos e Val Mob,8.02,57923,0.10,1.23,3.66,7.19,14.28,1.22,1.20,1.19,2.35,-3.66,-2.48,-1.39,155109836.70,95.07,0.08,0.11,-0.69,-0.59,6.16,,,0
IDFI11,Híbrido,53.83,156,0.50,0.92,1.66,3.20,11.55,0.55,0.53,0.96,1.13,-1.24,-0.32,-0.12,11473776.01,55.43,0.97,0.21,0.00,0.21,0.21,,,0
AAZQ11,,9.65,34946,0.13,1.35,0.00,0.00,0.00,0.00,0.00,0.00,2.90,-0.72,0.62,2.17,,,,,,,,,,0
LVBI11,Logística,93.00,28825,0.72,0.75,2.25,4.32,8.73,0.75,0.72,0.73,1.52,-0.94,-0.20,0.58,1360113106.61,115.51,0.81,0.65,-0.03,0.62,4.47,0.50,0.00,10
VGHF11,Títulos e Val Mob,9.10,309628,0.10,1.11,3.16,6.14,13.93,1.05,1.02,1.16,2.20,-1.64,-0.55,0.54,667476760.64,9.16,0.99,,,,,,,0
BBPO11,Lajes Corporativas,82.50,26226,0.90,1.10,3.21,6.23,12.63,1.07,1.04,1.05,2.14,-5.90,-4.86,-3.88,1603971546.08,100.75,0.82,0.89,0.00,0.89,0.89,0.00,0.00,64
AIEC11,Lajes Corporativas,62.63,5695,0.75,1.22,3.39,6.46,12.76,1.13,1.08,1.06,1.49,-7.46,-6.33,-6.08,454619127.52,94.22,0.66,0.19,0.00,0.19,0.19,0.00,,2
HUSI11,Hospital,1137.61,3,7.83,0.69,1.91,4.18,0.00,0.64,0.70,0.00,1.33,-0.65,0.04,0.68,115662727.67,993.99,1.14,0.74,0.00,0.74,0.74,,,0
HGIC11,Títulos e Val Mob,100.00,71,0.85,0.85,2.57,5.76,11.42,0.86,0.96,0.95,1.49,-2.30,-1.46,-0.83,53391265.10,115.39,0.87,0.57,0.00,0.57,0.57,,,0
CRFF11,Títulos e Val Mob,62.15,115,0.61,0.95,2.89,5.40,10.61,0.96,0.90,0.88,1.91,0.42,1.38,2.35,56441962.29,81.80,0.76,0.75,0.00,0.75,0.75,,,0
QAGR11,Outros,41.31,4026,0.42,1.00,2.96,5.63,10.57,0.99,0.94,0.88,1.99,-0.64,0.35,1.35,281473386.20,55.85,0.74,0.73,-0.08,0.65,-1.68,,,12
RBLG11,Logística,93.19,10,0.88,0.94,2.80,5.51,11.00,0.93,0.92,0.92,1.87,-1.87,-0.95,-0.03,64230672.96,100.33,0.93,0.88,-1.10,-0.23,2.59,0.00,,1
CXRI11,Híbrido,60.85,60,0.56,0.92,2.71,5.09,10.24,0.90,0.85,0.85,1.81,-3.17,-2.28,-1.42,126744425.48,80.43,0.76,0.70,0.00,0.70,0.70,,,0
GGRC11,Logística,105.88,13780,0.95,0.91,2.66,5.25,10.17,0.89,0.87,0.85,1.84,0.70,1.62,2.55,115193319.92,124.81,0.85,0.76,0.00,0.76,0.76,0.00,0.00,20
BREV11,Híbrido,102.59,20,4.13,4.01,13.32,15.33,18.91,4.44,2.56,1.58,4.63,0.02,4.03,4.68,117322323.15,121.30,0.85,0.53,0.00,0.53,0.53,0.00,,12
ERPA11,,123.96,3,0.66,0.53,1.67,3.34,0.00,0.56,0.56,0.00,1.11,3.30,3.85,4.45,6865683.51,137.06,0.90,0.51,0.00,0.51,0.51,,,0
OIAG11,,10.66,34403,0.17,1.59,4.74,6.11,0.00,1.58,1.02,0.00,3.24,3.29,4.94,6.67,,,,,,,,,,0
FLMA11,Híbrido,121.03,585,0.78,0.64,2.06,4.26,8.45,0.69,0.71,0.70,1.27,-6.08,-5.48,-4.89,221279915.81,160.27,0.76,0.50,0.00,0.50,0.50,11.00,,2
BLMR11,Títulos e Val Mob,6.20,58740,0.07,1.05,3.03,6.05,12.20,1.01,1.01,1.02,2.08,-2.05,-1.03,-0.01,192139436.48,7.52,0.82,0.86,0.00,0.86,0.86,,,0
FLCR11,Títulos e Val Mob,95.94,702,1.15,1.20,3.55,6.11,14.70,1.18,1.02,1.22,2.34,-0.06,1.14,2.29,62261956.25,98.27,0.98,1.12,0.00,1.12,1.12,,,0
GTLG11,,96.01,19,0.70,0.73,2.16,4.30,8.50,0.72,0.72,0.71,1.44,-2.03,-1.32,-0.61,673719858.78,93.92,1.02,0.75,0.00,0.75,0.75,,,0
BREV11,Híbrido,102.59,20,0.41,0.40,9.71,11.72,15.30,3.24,1.95,1.27,1.02,-0.38,0.02,0.64,117322323.15,121.30,0.85,0.53,0.00,0.53,0.53,0.00,,12
BIME11,,7.38,12304,0.08,1.08,3.03,5.16,14.22,1.01,0.86,1.18,2.12,-4.16,-3.12,-2.11,52284897.57,8.94,0.83,0.89,0.00,0.89,0.89,,,0
FISC11,Lajes Corporativas,165.00,200,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,195826719.93,115.19,1.43,0.30,0.00,0.30,0.30,,,0
FATN11,Híbrido,94.75,1496,0.74,0.78,2.71,5.45,10.57,0.90,0.91,0.88,1.74,0.79,1.57,2.55,120838445.94,99.44,0.95,0.91,0.00,0.91,0.91,4.30,,7
NCRI11,Títulos e Valores Mobiliários,9.39,46,0.11,1.17,0.00,0.00,0.00,0.00,0.00,0.00,1.17,0.00,1.17,1.17,39894696.81,10.10,0.93,1.09,0.00,1.09,1.09,,,0
NCHB11,Títulos e Val Mob,85.23,7431,1.02,1.20,3.51,7.31,14.71,1.17,1.22,1.23,2.35,-1.70,-0.52,0.63,145806912.83,90.18,0.95,1.11,-1.14,-0.04,3.18,,,0
